Headline,Link,Date,"Categories (comma separated)","Locations (; separated)","Lat/Lon pairs (; separated)"
"Saratoga Springs State of Emergency extended to June 12 | Local News | saratogian.com",http://healthmap.org/ln.php?7332434,"2020-05-12 13:01:10","State of Emergency Declaration","Saratoga Springs, New York","43.083130,-73.784569"
"25 teen girls, 7 staff at Michigan treatment facility infected with coronavirus - Detroit Free Press",http://healthmap.org/ln.php?7332475,"2020-05-13 13:44:20","Healthcare Facility, Healthcare Worker","Vassar, Michigan","43.371971,-83.583290"
"How coronavirus spread from one member to 87% of the singers at a Washington choir practice - CNN",http://healthmap.org/ln.php?7332478,"2020-05-13 14:33:56","COVID-19 Case Clusters","Mount Vernon, Washington","48.421219,-122.334053"
"Gov. Ivey issues supplemental state of emergency orders for Alabama during COVID-19 pandemic | CBS 42",http://healthmap.org/ln.php?7332523,"2020-05-08 10:21:30","State of Emergency Declaration",Alabama,"32.731800,-86.748100"
"New Jersey Coronavirus State of Emergency Extended",http://healthmap.org/ln.php?7332524,"2020-05-07 15:26:56","State of Emergency Declaration, Lockdown / Shelter in Place","New Jersey","40.178799,-74.355499"
"Delaware expands testing, prolongs state of emergency to May 31",http://healthmap.org/ln.php?7332531,"2020-05-08 14:01:50","State of Emergency Declaration, Lockdown / Shelter in Place",Delaware,"38.993500,-75.498100"
"South Carolina restaurants can now reopen for dine-in guests | wcnc.com",http://healthmap.org/ln.php?7332534,"2020-05-11 05:14:28","Business Reopening","South Carolina","33.687698,-80.595802"
"Coronavirus outbreaks in 2 Asheville nursing homes, county says - Citizen Times",http://healthmap.org/ln.php?7332701,"2020-05-13 15:32:52","Elder Care","Asheville, North Carolina","35.600945,-82.554016"
"States continue to ease coronavirus restrictions ahead of expert recommendations - CNN",http://healthmap.org/ln.php?7332866,"2020-05-13 14:33:53","Business Reopening","United States","39.966930,-97.556099"
"Businesses Chafing Under Covid-19 Lockdowns Turn to Armed Defiance - The New York Times",http://healthmap.org/ln.php?7332871,"2020-05-13 16:45:11","Business Closure, Business Reopening","United States","39.966930,-97.556099"
"Home Slice’s South Austin Location Closes Because Staffers Tested Positive for COVID-19 - Eater Austin",http://healthmap.org/ln.php?7332975,"2020-05-13 12:24:10","Business Closure","Austin, Texas","30.267151,-97.743057"
"More than 200 tested for COVID-19 at Skowhegan nursing home after patient tests positive - Kennebec Journal & Morning Sentinel",http://healthmap.org/ln.php?7333236,"2020-05-13 14:50:00","Elder Care","Skowhegan, Maine","44.765060,-69.719223"
"Coronavirus Lockdowns: Businesses Turn to Armed Defiance - The New York Times",http://healthmap.org/ln.php?7333246,"2020-05-13 17:48:20","Business Closure, Business Reopening","United States","39.966930,-97.556099"
"Live updates: Wisconsin Supreme Court strikes down governor’s coronavirus stay-at-home order - The Washington Post",http://healthmap.org/ln.php?7333250,"2020-05-13 19:00:43","Lockdown / Shelter in Place",Wisconsin,"44.496498,-90.000000"
"Coronavirus Latest: Gov. Larry Hogan Will Lift Maryland’s Stay At Home Order Friday - CBS Baltimore",http://healthmap.org/ln.php?7333423,"2020-05-13 19:49:40","Lockdown / Shelter in Place, Business Reopening",Maryland,"38.959400,-76.376999"
"Coronavirus Latest: Pennsylvania To Begin Testing Every Nursing Home Resident, Employee For COVID-19 - CBS Philly",http://healthmap.org/ln.php?7333507,"2020-05-12 15:12:21","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Latest on COVID-19 in MN: Walz ending stay-home order, keeping dine-out ban - Minnesota Public Radio News",http://healthmap.org/ln.php?7333653,"2020-05-13 06:49:00","Lockdown / Shelter in Place, Business Reopening",Minnesota,"46.225399,-94.658302"
"Coronavirus In Maryland: What’s Allowed To Reopen, What’s Closed In Maryland? - CBS Baltimore",http://healthmap.org/ln.php?7333664,"2020-05-13 18:24:03","Business Closure, Lockdown / Shelter in Place, Business Reopening",Maryland,"38.959400,-76.376999"
"Coronavirus live updates: President Trump admonishes Fauci on school reopenings; LA's beaches reopen - USA TODAY",http://healthmap.org/ln.php?7333669,"2020-05-13 21:07:30","School Closure","United States","39.966930,-97.556099"
"Coronavirus In Minnesota: Gov. Tim Walz Says Retail Businesses Can Reopen May 18; Bars And Salons On June 1 - CBS Minnesota",http://healthmap.org/ln.php?7333845,"2020-05-13 21:06:57","Business Reopening",Minnesota,"46.225399,-94.658302"
"Berks County officials highlight how coronavirus shutdown is causing frustration among small business owners - Reading Eagle",http://healthmap.org/ln.php?7333970,"2020-05-13 19:39:39","Business Closure","Berks County, Pennsylvania","40.625370,-75.874924"
"Coronavirus Update: San Francisco Bars Struggle In COVID-19 Limbo With No End In Sight - CBS San Francisco",http://healthmap.org/ln.php?7333972,"2020-05-13 22:32:00","Business Closure","San Francisco, California","37.775002,-122.418404"
"Rural communities facing economic hardships from COVID-19 shutdowns - WSAZ-TV",http://healthmap.org/ln.php?7334223,"2020-05-13 20:54:18","Business Closure",Kentucky,"37.439899,-84.462898"
"Live updates: Wisconsin Supreme Court strikes down stay-at-home order; cities will keep restrictions in place - The Washington Post",http://healthmap.org/ln.php?7334227,"2020-05-14 00:59:33","Lockdown / Shelter in Place",Wisconsin,"44.496498,-90.000000"
"This nursing home director explains how her facility staved off coronavirus cases while a major outbreak sits miles away - CNN",http://healthmap.org/ln.php?7334286,"2020-05-13 23:54:56","Elder Care",Oregon,"43.992802,-120.498100"
"Buried in N.Y. Budget: Legal Shield for Nursing Homes Rife With Coronavirus - The New York Times",http://healthmap.org/ln.php?7334436,"2020-05-13 20:36:51","Elder Care","New York State","43.004601,-75.498100"
"Infection rates were climbing at Nebraska meatpacking plants. Then health officials stopped reporting the numbers. - The Washington Post",http://healthmap.org/ln.php?7334731,"2020-05-13 11:52:23","COVID-19 Case Clusters",Nebraska,"41.508499,-99.755898"
"One big Philly hospital is seeing a lot more coronavirus patients than its rival - The Philadelphia Inquirer",http://healthmap.org/ln.php?7334881,"2020-05-14 03:50:41","Healthcare Facility","Thomas Jefferson University Hospital, Pennsylvania","39.950199,-75.158203"
"Wisconsin Supreme Court Says Coronavirus Shutdown Is Overreach - The New York Times",http://healthmap.org/ln.php?7335107,"2020-05-14 06:08:07","Lockdown / Shelter in Place",Wisconsin,"44.496498,-90.000000"
"Middleton nursing home among 38 in Wisconsin with active COVID-19 | Local News | madison.com",http://healthmap.org/ln.php?7335134,"2020-05-14 07:38:34","Elder Care","Middleton, Wisconsin","43.097221,-89.504288"
"Maryland nursing home deaths approach 1,000, accounting for more than half of state’s coronavirus toll - Baltimore Sun",http://healthmap.org/ln.php?7335135,"2020-05-14 07:40:41","Elder Care",Maryland,"38.959400,-76.376999"
"More than 30 residents of Pinellas Park nursing home positive for COVID-19; officials say most asymptomatic",http://healthmap.org/ln.php?7335136,"2020-05-14 07:41:39","Elder Care","Pinellas Park, Florida","27.842800,-82.699539"
"Coronavirus deaths at Colorado nursing homes continue to grow; outbreaks at jails, prisons meat plants worsen &#8211; The Colorado Sun",http://healthmap.org/ln.php?7335137,"2020-05-14 07:42:57","Elder Care",Colorado,"38.993500,-105.512703"
"DHS releases list of 38 nursing homes &#8216;with active public health investigations&#8217; amid COVID-19 | FOX6Now.com",http://healthmap.org/ln.php?7335138,"2020-05-14 07:44:05","Elder Care",Wisconsin,"44.496498,-90.000000"
"Area woman assists in COVID-19 battle | News, Sports, Jobs - Evening Observer",http://healthmap.org/ln.php?7335251,"2020-05-14 04:47:10","Healthcare Worker","New York City, New York State","40.713902,-74.003998"
"Nursing home workers warned government about safety violations before Covid-19 outbreaks and deaths - CNN",http://healthmap.org/ln.php?7335253,"2020-05-14 06:54:53","Healthcare Worker, Elder Care","United States","39.966930,-97.556099"
"Coronavirus live updates: WHO warns 'virus may never go away'; Wisconsin stay-at-home order struck down - USA TODAY",http://healthmap.org/ln.php?7335255,"2020-05-14 07:37:30","Lockdown / Shelter in Place","Wisconsin; Grand Canyon National Park Airport, Arizona","44.496498,-90.000000; 35.952209,-112.146843"
"Coronavirus Live Updates: Virus Could Be Here to Stay, and Economic Pain Long-Lasting - The New York Times",http://healthmap.org/ln.php?7335259,"2020-05-14 07:54:00","Lockdown / Shelter in Place",Wisconsin,"44.496498,-90.000000"
"Green Empire Farm must move workers out of hotels after coronavirus outbreak, county says - syracuse.com",http://healthmap.org/ln.php?7335457,"2020-05-14 07:19:56","COVID-19 Case Clusters","Madison County, New York","42.933399,-75.649628"
"Coronavirus Testing Used by the White House Could Miss Infections - The New York Times",http://healthmap.org/ln.php?7335458,"2020-05-14 08:51:08","Mass Testing","Washington, DC","38.895000,-77.036697"
"Update: The latest on COVID-19 in Colorado - The Colorado Independent",http://healthmap.org/ln.php?7335635,"2020-05-13 17:40:10","COVID-19 Case Clusters","Greeley, Colorado; Sterling Correctional Facility, Colorado","40.423313,-104.709129; 40.960709,-103.184296"
"Coronavirus Updates: Latest COVID-19 Headlines From May 14, 2020 - CBS Minnesota",http://healthmap.org/ln.php?7335878,"2020-05-14 07:20:32","State of Emergency Declaration, Business Reopening",Minnesota,"46.225399,-94.658302"
"Live updates: Vaccine expert warns of ‘darkest winter in modern history’ without coordinated U.S. response - The Washington Post",http://healthmap.org/ln.php?7335887,"2020-05-14 10:59:40","Lockdown / Shelter in Place",Wisconsin,"44.496498,-90.000000"
"Coronavirus in Pennsylvania: G.O.P. Defiance of Lockdown Has 2020 Implications - The New York Times",http://healthmap.org/ln.php?7336111,"2020-05-14 10:27:54","Lockdown / Shelter in Place",Pennsylvania,"40.930099,-77.475601"
"Beyoncé shares video of mobile Covid-19 testing sites she set up in her hometown - CNN",http://healthmap.org/ln.php?7336112,"2020-05-14 11:14:43","Mass Testing","Houston, Texas","29.763281,-95.363274"
"Unemployment Claims Above 36 Million in Coronavirus Pandemic - The New York Times",http://healthmap.org/ln.php?7336113,"2020-05-14 11:51:57","Business Reopening","United States","39.966930,-97.556099"
"First to close and last to open? California takes 'appropriately cautious' path in combating coronavirus - USA TODAY",http://healthmap.org/ln.php?7336338,"2020-05-14 09:58:22","Business Reopening",California,"37.250198,-119.750298"
"COVID-19 antibody test results required to be reported to Missouri Department of Health - KMOV.com",http://healthmap.org/ln.php?7336504,"2020-05-14 06:57:06","Mass Testing","St Louis, Missouri","38.627270,-90.197891"
"Utah child care providers start to reopen as COVID-19 relief funds continue - Salt Lake Tribune",http://healthmap.org/ln.php?7336506,"2020-05-14 09:11:32","Business Reopening",Utah,"39.266201,-111.752998"
"The Disproportionate Impact of Covid-19 on Black Health Care Workers in the US - Harvard Business Review",http://healthmap.org/ln.php?7336985,"2020-05-14 08:14:24","Healthcare Worker","United States","39.966930,-97.556099"
"Coronavirus: Asheville nursing home kitchen worker positive for COVID-19 - Citizen Times",http://healthmap.org/ln.php?7336990,"2020-05-14 13:47:56","Elder Care","Asheville, North Carolina","35.600945,-82.554016"
"Covid-19 hospitalizations drop in Erie County for first time in four days - Buffalo News",http://healthmap.org/ln.php?7336991,"2020-05-14 14:07:04","Healthcare Facility","Erie County, New York","42.766727,-78.666412"
"Texas coronavirus orders often were enforced without citations - The Texas Tribune",http://healthmap.org/ln.php?7336992,"2020-05-14 14:38:40","Business Reopening",Texas,"31.240900,-99.228600"
"MLB's COVID-19 plan involves multiple tests per week; positive result would not suspend play, report says - CBS Sports",http://healthmap.org/ln.php?7337111,"2020-05-14 13:09:04","Mass Testing","United States","39.966930,-97.556099"
"LIVE UPDATES: Coronavirus in the Mid-South: All casinos in Mississippi can reopen next week, Gaming Commission - FOX13 Memphis",http://healthmap.org/ln.php?7337112,"2020-05-14 13:43:11","Business Reopening",Mississippi,"32.731800,-89.736397"
"Employee at area nursing facility test positive for COVID-19 | News, Sports, Jobs - Evening Observer",http://healthmap.org/ln.php?7337241,"2020-05-14 15:44:19","Healthcare Worker, Elder Care","Westfield, New York","42.322281,-79.578102"
"Abraxas confirms COVID-19 cases at youth treatment facility in Shelby - Mansfield News Journal",http://healthmap.org/ln.php?7337430,"2020-05-14 12:19:50","Healthcare Facility, COVID-19 Case Clusters","Shelby, Ohio","40.881451,-82.661842"
"Burger King on University closed for cleaning after employee tests positive for COVID-19 - Las Cruces Sun-News",http://healthmap.org/ln.php?7337622,"2020-05-14 14:31:27","Business Closure","Las Cruces, New Mexico","32.312317,-106.778336"
"Hornell nursing home resident dies of COVID-19, 40th death in Steuben County - WETM - MyTwinTiers.com",http://healthmap.org/ln.php?7337627,"2020-05-14 16:33:00","Elder Care","Steuben County, New York","42.266739,-77.333038"
"Latest on COVID-19 in MN: 663 dead; 'need for vigilance' remains - Minnesota Public Radio News",http://healthmap.org/ln.php?7337732,"2020-05-14 06:30:00","COVID-19 Case Clusters","Nobles County, Minnesota; Stearns County, Minnesota","43.666634,-95.766960; 45.549965,-94.550278"
"Coronavirus updates: Trump pushes Pennsylvania to reopen; 300,000 global deaths; stocks push higher - USA TODAY",http://healthmap.org/ln.php?7337733,"2020-05-14 11:16:10","Business Reopening",Pennsylvania,"40.930099,-77.475601"
"Colorado Investigates Whether National Guard Nursing Home Testing Spread Coronavirus - Colorado Public Radio",http://healthmap.org/ln.php?7337738,"2020-05-14 16:03:05","Elder Care",Colorado,"38.993500,-105.512703"
"A COVID-19 Patient Films His Routine Inside A Hospital Isolation Unit - NPR",http://healthmap.org/ln.php?7337739,"2020-05-14 16:05:00","Healthcare Facility","New Jersey","40.178799,-74.355499"
"Fairfield restaurant delays reopening amid uncertainty with coronavirus - Kennebec Journal & Morning Sentinel",http://healthmap.org/ln.php?7337865,"2020-05-14 16:05:00","Business Reopening","Fairfield, Maine","44.588402,-69.598663"
"Four WMC staffers have tested positive for coronavirus since pandemic's start - Casper Star-Tribune Online",http://healthmap.org/ln.php?7337868,"2020-05-14 18:50:00","Healthcare Facility, Healthcare Worker","Wyoming Medical Center - Casper, Wyoming","42.314323,-106.626945"
"26th COVID-19 death recorded in Cameron; RGV cases exceed 1000 - Monitor",http://healthmap.org/ln.php?7338084,"2020-05-14 19:37:00","Elder Care","Cameron County, Texas","26.117020,-97.516930"
"Amid Ongoing COVID-19 Pandemic, Governor Cuomo Announces Fifth Region Hits Benchmark to Begin Reopening May 15th - NY.gov",http://healthmap.org/ln.php?7338198,"2020-05-14 18:05:41","Business Reopening","New York State","43.004601,-75.498100"
"Five of New York’s 10 Regions Can Begin to Reopen on Friday - The New York Times",http://healthmap.org/ln.php?7338397,"2020-05-14 22:45:30","Business Reopening","New York State","43.004601,-75.498100"
"COVID-19 restrictions easing in most of Utah - Deseret News",http://healthmap.org/ln.php?7338982,"2020-05-14 16:49:28","Business Reopening",Utah,"39.266201,-111.752998"
"Resentment Builds When COVID-19 Reopening Rules Apply To Some Businesses, But Not Others - CBS San Francisco",http://healthmap.org/ln.php?7339099,"2020-05-13 23:32:14","Business Reopening","San Francisco, California","37.775002,-122.418404"
"Kaysville's mayor, a Utah congressional candidate, openly defies state COVID-19 orders - Salt Lake Tribune",http://healthmap.org/ln.php?7339280,"2020-05-14 20:34:12","Business Reopening","Kaysville, Utah","41.035221,-111.938553"
"New search tool reveals COVID-19 cases & deaths at Indiana nursing homes - 13 Investigates - 13 WTHR Indianapolis",http://healthmap.org/ln.php?7339315,"2020-05-15 07:49:37","Elder Care",Indiana,"40.010700,-86.264702"
"She fought to keep COVID-19 out of her Rhode Island nursing home. Then, she got sick - The Boston Globe",http://healthmap.org/ln.php?7339316,"2020-05-15 07:50:01","Elder Care","Rhode Island","41.738499,-71.499100"
"CVS Pharmacy Opens Drive-Thru Covid-19 Testing Sites in Florida - Bay News 9",http://healthmap.org/ln.php?7339612,"2020-05-15 05:43:00","Mass Testing","Orlando, Florida; Altamonte Springs, Florida; Largo, Florida; Tarpon Springs, Florida; Lutz, Florida","28.538336,-81.379234; 28.661110,-81.365623; 27.909468,-82.787323; 28.146120,-82.756767; 28.151119,-82.461479"
"Recap of New Mexico COVID-19 news (5/15/20 edition) - New Mexico Political Report",http://healthmap.org/ln.php?7339780,"2020-05-15 02:00:00","Business Reopening","Albuquerque, New Mexico","35.084492,-106.651138"
"The number of new coronavirus cases is going down in 28 states as reopening efforts continue - CNN",http://healthmap.org/ln.php?7340262,"2020-05-15 10:33:58","Business Reopening","United States","39.966930,-97.556099"
"COVID-19 Death Toll at Lakeland Nursing Home Reaches 19 - Bay News 9",http://healthmap.org/ln.php?7340489,"2020-05-14 21:57:00","Healthcare Facility, Elder Care, COVID-19 Case Clusters","Lakeland, Florida","28.039465,-81.949806"
"Preparing the palace: How an iconic Las Vegas casino plans to conquer Covid-19 - CNN",http://healthmap.org/ln.php?7340495,"2020-05-15 11:04:10","Business Reopening","Las Vegas, Nevada","36.174973,-115.137222"
"Hospitals Knew How to Make Money. Then Coronavirus Happened. - The New York Times",http://healthmap.org/ln.php?7340496,"2020-05-15 11:43:22","Healthcare Facility",Minnesota,"46.225399,-94.658302"
"COVID-19 hospitalizations in Maine flat for 5th week - Press Herald",http://healthmap.org/ln.php?7340497,"2020-05-15 11:50:00","Healthcare Facility",Maine,"45.490898,-69.257896"
"County health official: Rochester house party spawned cluster of COVID-19 cases - Minnesota Public Radio News",http://healthmap.org/ln.php?7340649,"2020-05-14 21:42:00","COVID-19 Case Clusters","Rochester, Minnesota","44.021629,-92.469902"
"'We're in here fighting': 5 nurses take us inside the coronavirus unit at Parkland hospital in Dallas - The Dallas Morning News",http://healthmap.org/ln.php?7340934,"2020-05-15 12:10:01","Healthcare Facility","Parkland Hospital - Dallas, Texas","32.762486,-96.930016"
"State adds 11 coronavirus deaths, 150 new cases Friday; hospitalizations decrease - The News Journal",http://healthmap.org/ln.php?7340935,"2020-05-15 12:58:53","Business Reopening",Delaware,"38.993500,-75.498100"
"Which 12 Pa. counties will move into yellow phase of coronavirus reopening next? Here’s the list - PennLive",http://healthmap.org/ln.php?7341090,"2020-05-15 12:28:18","Business Reopening","Butler County, Pennsylvania; Allegheny County, Pennsylvania; Westmoreland County, Pennsylvania; Cambria County, Pennsylvania; Somerset County, Pennsylvania; Washington County, Pennsylvania; Fayette County, Pennsylvania; Greene County, Pennsylvania; Blair County, Pennsylvania; Fulton County, Pennsylvania; Armstrong County, Pennsylvania; Indiana County, Pennsylvania; Bedford County, Pennsylvania","41.125340,-80.000053; 40.625340,-80.125061; 40.625343,-79.625046; 40.625347,-78.750023; 40.250355,-79.000031; 40.375347,-80.500069; 40.125351,-79.750038; 40.000351,-80.250061; 40.625069,-78.375023; 40.125359,-78.125008; 41.125340,-79.683098; 40.875340,-79.125038; 40.250351,-78.625023"
"LIVE UPDATES: Coronavirus in the Mid-South: Announcement on AR bars expected on Monday - FOX13 Memphis",http://healthmap.org/ln.php?7341097,"2020-05-15 14:55:57","Business Reopening",Arkansas,"34.741600,-92.504898"
"Parts of New York Reopen: Live Coronavirus Coverage - The New York Times",http://healthmap.org/ln.php?7341098,"2020-05-15 15:12:31","Business Reopening","New York State","43.004601,-75.498100"
"Steuben County reports Hornell nursing home resident as 41st COVID-19 death - WETM - MyTwinTiers.com",http://healthmap.org/ln.php?7341344,"2020-05-15 16:14:00","Elder Care","Steuben County, New York; Hornell, New York","42.266739,-77.333038; 42.327850,-77.661102"
"Alaska's quarantine order has helped thwart COVID-19 but devastated tourism. Will Dunleavy keep it? - Alaska Public Media News",http://healthmap.org/ln.php?7341621,"2020-05-15 11:08:00","Lockdown / Shelter in Place",Alaska,"64.000198,-150.000305"
"These Restaurants Have Closed Since COVID-19 Hit DC - DCist.com",http://healthmap.org/ln.php?7341630,"2020-05-15 15:52:00","Business Closure","Washington, DC","38.895000,-77.036697"
"Coronavirus updates: Trump touts 'Operation Warp Speed'; J.C. Penney files for bankruptcy; NY beaches open for Memorial Day weekend - USA TODAY",http://healthmap.org/ln.php?7341632,"2020-05-15 16:48:43","Business Reopening","New York State","43.004601,-75.498100"
"Texas reopening while missing coronavirus response benchmarks - The Texas Tribune",http://healthmap.org/ln.php?7341729,"2020-05-15 19:32:28","Business Reopening",Texas,"31.240900,-99.228600"
"What it’s like in Ohio as businesses reopen amid COVID-19 pandemic - WDIV ClickOnDetroit",http://healthmap.org/ln.php?7341925,"2020-05-15 17:47:18","Business Reopening",Ohio,"40.245899,-83.012703"
"Businesses gear up to reopen in Downtown Rochester amid COVID-19 pandemic - WDIV ClickOnDetroit",http://healthmap.org/ln.php?7342169,"2020-05-15 19:25:47","Business Reopening","Rochester, Michigan","42.680588,-83.133820"
"May 15 update on COVID-19 in MN: 683 deaths; alert issued for syndrome affecting kids - Minnesota Public Radio News",http://healthmap.org/ln.php?7343074,"2020-05-15 06:30:00","COVID-19 Case Clusters","Nobles County, Minnesota; Stearns County, Minnesota; Kandiyohi County, Minnesota","43.666634,-95.766960; 45.549965,-94.550278; 45.152382,-95.004738"
"Veterans caregiver program more urgent as coronavirus savages nursing homes - NPR",http://healthmap.org/ln.php?7343077,"2020-05-16 07:02:49","Elder Care","United States","39.966930,-97.556099"
"Mobile, Baldwin County hospital officials optimistic about experimental drug for COVID-19 - NBC 15 WPMI",http://healthmap.org/ln.php?7343643,"2020-05-15 23:34:24","Healthcare Facility",Alabama,"32.731800,-86.748100"
"Some N.Y. Racetracks Can Open in June, Cuomo Says: Live Updates - The New York Times",http://healthmap.org/ln.php?7343928,"2020-05-16 14:30:09","Business Reopening","New York State","43.004601,-75.498100"
"Inside New York's notorious Rikers Island jails, 'the epicenter of the epicenter' of the coronavirus pandemic - CNN",http://healthmap.org/ln.php?7343929,"2020-05-16 14:44:44","COVID-19 Case Clusters","Rikers Island Prison, New York City, New York","40.790657,-73.880966"
"Thousands of Texas nursing home residents have tested positive for coronavirus - KRGV",http://healthmap.org/ln.php?7344147,"2020-05-16 10:19:20","Elder Care",Texas,"31.240900,-99.228600"
"ECMC offers hazard pay to nurses, others engaged in Covid-19 fight - Buffalo News",http://healthmap.org/ln.php?7344287,"2020-05-16 12:37:06","Healthcare Facility","Erie County Medical Center, New York","42.925228,-78.831161"
"Ford to offer COVID-19 testing for symptomatic workers as part of reopening plan - TechCrunch",http://healthmap.org/ln.php?7344525,"2020-05-16 17:14:29","Business Reopening","United States","39.966930,-97.556099"
"More than 700 new cases of coronavirus reported in Amarillo region - The Texas Tribune",http://healthmap.org/ln.php?7344756,"2020-05-16 19:32:15","COVID-19 Case Clusters","Moore County, Texas; Cactus, Texas","35.837688,-101.892921; 36.052261,-102.002403"
"Invisible deaths: from nursing homes to prisons, the coronavirus toll is out of sight – and out of mind? - The Guardian",http://healthmap.org/ln.php?7344880,"2020-05-16 22:56:16","Elder Care","United States","39.966930,-97.556099"
"Coronavirus: Trump says US reopening, 'vaccine or no vaccine' - BBC News",http://healthmap.org/ln.php?7344966,"2020-05-16 02:25:45","Business Reopening","United States","39.966930,-97.556099"
"Beaches reopen as more states lift restrictions and the US gears up for Memorial Day - CNN",http://healthmap.org/ln.php?7345035,"2020-05-16 21:33:59","Business Reopening","United States","39.966930,-97.556099"
"Pa. coronavirus update: Nursing home deaths pass 3K, Lehigh Valley positive cases top 6K | COVID-19 case map (5/16/20) - lehighvalleylive.com",http://healthmap.org/ln.php?7345620,"2020-05-17 07:52:04","Elder Care",Pennsylvania,"40.930099,-77.475601"
"Thousands of Texas nursing home residents have tested positive for coronavirus | The Texas Tribune",http://healthmap.org/ln.php?7345627,"2020-05-17 07:53:28","Elder Care",Texas,"31.240900,-99.228600"
"Health officials report nursing home worker tests positive for COVID-19 | WCIA.com",http://healthmap.org/ln.php?7345641,"2020-05-17 07:54:26","Elder Care","Shelbyville, Illinois","39.406429,-88.790070"
"2 San Antonio school districts looking to reopen this summer amid COVID-19 pandemic",http://healthmap.org/ln.php?7345658,"2020-05-17 07:56:09","School Closure","San Antonio, Texas","29.424122,-98.493629"
"From Medical School To Fighting COVID-19 On The Front Lines At Bellevue Hospital - NPR",http://healthmap.org/ln.php?7345686,"2020-05-15 18:44:38","Healthcare Facility, Healthcare Worker","New York City, New York State","40.713902,-74.003998"
"COVID-19 coronavirus Illinois rate of positive COVID tests continues to decrease - Crain's Chicago Business",http://healthmap.org/ln.php?7345774,"2020-05-15 17:58:29","Mass Testing",Illinois,"40.010700,-89.252998"
"Pritzker Creates New Tier of Punishment for Businesses Ignoring COVID-19 Order - WTTW News",http://healthmap.org/ln.php?7345775,"2020-05-16 17:57:09","Business Closure, Business Reopening",Illinois,"40.010700,-89.252998"
"Weeks into country's reopening, health officials double down on the dangers of mass gatherings - CNN",http://healthmap.org/ln.php?7345955,"2020-05-17 09:33:58","Business Reopening","United States","39.966930,-97.556099"
"Allegheny Township personal care home hit with unknown number of covid-19 cases - TribLIVE",http://healthmap.org/ln.php?7346096,"2020-05-17 06:01:00","Healthcare Facility, Elder Care","Allegheny, Pennsylvania","40.468830,-79.981194"
"At South Jersey center for disabled adults, COVID-19 has killed 8 while infecting most residents and many staf - The Philadelphia Inquirer",http://healthmap.org/ln.php?7346247,"2020-05-17 05:22:05","Healthcare Facility, Healthcare Worker, COVID-19 Case Clusters","New Lisbon, New Jersey","39.958172,-74.627930"
"Health officials double down on the dangers of mass gatherings as states reopen more venues - CNN",http://healthmap.org/ln.php?7346255,"2020-05-17 11:33:53","Business Reopening","United States","39.966930,-97.556099"
"COVID-19: Reopening the San Francisco Bay Area — smart policy or wishful thinking? - Mission Local",http://healthmap.org/ln.php?7346548,"2020-05-17 03:16:21","Business Reopening","San Francisco, California","37.775002,-122.418404"
"HPD detective fighting COVID-19 released from hospital - KHOU.com",http://healthmap.org/ln.php?7346699,"2020-05-16 21:27:00","Healthcare Facility",Texas,"31.240900,-99.228600"
"Auburn senior center reports coronavirus outbreak as 3 staff, 1 resident test positive - Bangor Daily News",http://healthmap.org/ln.php?7346890,"2020-05-17 13:42:55","Healthcare Facility, Elder Care, COVID-19 Case Clusters","Auburn, Maine","44.097851,-70.231171"
"These San Diego nurses took jobs in COVID-19 hot zones. Here are their stories - The San Diego Union-Tribune",http://healthmap.org/ln.php?7347117,"2020-05-17 10:32:23","Healthcare Worker","San Diego, California","32.713299,-117.158302"
"Employee of Bar Harbor retirement community tests positive for coronavirus - Bangor Daily News",http://healthmap.org/ln.php?7347266,"2020-05-17 10:43:39","Healthcare Facility, Healthcare Worker, Elder Care","Bar Harbor, Maine","44.387581,-68.203903"
"Coronavirus live updates: HHS secretary calls reopening safe; NASCAR returns; Cuomo gets tested - USA TODAY",http://healthmap.org/ln.php?7347270,"2020-05-17 17:33:45","Business Reopening","United States","39.966930,-97.556099"
"More States Announce Plans For COVID-19 Testing At Nursing Homes : Coronavirus Live Updates - NPR",http://healthmap.org/ln.php?7347346,"2020-05-15 23:26:39","Elder Care","Arizona; Delaware; New Jersey; New York State; Pennsylvania; South Dakota; Texas; West Virginia","34.500198,-111.500298; 38.993500,-75.498100; 40.178799,-74.355499; 43.004601,-75.498100; 40.930099,-77.475601; 44.496498,-100.239304; 31.240900,-99.228600; 38.513699,-80.507896"
"Washoe reports biggest daily jump in COVID-19 cases, nearly half come from nursing home - Reno Gazette Journal",http://healthmap.org/ln.php?7347354,"2020-05-17 18:47:33","Elder Care","Washoe County, Nevada","40.750179,-119.626305"
"Ford will provide Covid-19 testing in four metro areas as it gears up to reopen US factories - CNN",http://healthmap.org/ln.php?7347614,"2020-05-17 15:24:41","Business Reopening","Kentucky; Michigan; Chicago, Illinois; Kansas City, Missouri","37.439899,-84.462898; 43.580299,-84.462898; 41.849998,-87.650101; 39.099728,-94.578568"
"Restaurants reopen after COVID-19 restrictions lifted - kwwl.com",http://healthmap.org/ln.php?7347618,"2020-05-17 17:24:43","Business Closure","Dubuque, Iowa","42.500561,-90.664574"
"Albany family wants accountability after losing two Teresian House residents to coronavirus - WNYT",http://healthmap.org/ln.php?7347620,"2020-05-17 19:37:53","Elder Care","Albany, New York","42.652580,-73.756233"
